Gen 14 - Best fitness: 630
Gen 15 - Best fitness: 430
Gen 16 - Best fitness: 690
Gen 17 - Best fitness: 660
Gen 18 - Best fitness: 830
Gen 19 - Best fitness: 630
Gen 20 - Best fitness: 600
Gen 21 - Best fitness: 670
Gen 22 - Best fitness: 570
Gen 23 - Best fitness: 670
Gen 24 - Best fitness: 600
Gen 25 - Best fitness: 560
Gen 26 - Best fitness: 330
Gen 27 - Best fitness: 670
Gen 28 - Best fitness: 570
Gen 29 - Best fitness: 660
Gen 30 - Best fitness: 440
Gen 31 - Best fitness: 640
Gen 32 - Best fitness: 280
Gen 33 - Best fitness: 710
Gen 34 - Best fitness: 330
Gen 35 - Best fitness: 630
Gen 36 - Best fitness: 430
Gen 37 - Best fitness: 530
Gen 38 - Best fitness: 660
Gen 39 - Best fitness: 600
Best timetable saved to timetable_ga.json


2025-08-15 05:13:53 | Command: C:^\Windows^\py.exe "C:\xampp\htdocs\dcsp\sub_admin\genetic_algorithm.py"
Gen 0 - Best fitness: 720
Gen 1 - Best fitness: 880
Gen 2 - Best fitness: 850
Gen 3 - Best fitness: 720
Gen 4 - Best fitness: 750
Gen 5 - Best fitness: 850
Gen 6 - Best fitness: 780
Gen 7 - Best fitness: 750
Gen 8 - Best fitness: 780
Gen 9 - Best fitness: 820
Gen 10 - Best fitness: 630
Gen 11 - Best fitness: 780
Gen 12 - Best fitness: 720
Gen 13 - Best fitness: 820
Gen 14 - Best fitness: 620
Gen 15 - Best fitness: 560
Gen 16 - Best fitness: 590
Gen 17 - Best fitness: 550
Gen 18 - Best fitness: 400
Gen 19 - Best fitness: 700
Gen 20 - Best fitness: 360
Gen 21 - Best fitness: 690
Gen 22 - Best fitness: 680
Gen 23 - Best fitness: 460
Gen 24 - Best fitness: 820
Gen 25 - Best fitness: 650
Gen 26 - Best fitness: 520
Gen 27 - Best fitness: 620
Gen 28 - Best fitness: 610
Gen 29 - Best fitness: 690
Gen 30 - Best fitness: 810
Gen 31 - Best fitness: 430
Gen 32 - Best fitness: 490
Gen 33 - Best fitness: 480
Gen 34 - Best fitness: 480
Gen 35 - Best fitness: 650
Gen 36 - Best fitness: 490
Gen 37 - Best fitness: 700
Gen 38 - Best fitness: 650
Gen 39 - Best fitness: 620
Best timetable saved to timetable_ga.json


